filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39327041,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_39327047,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327048,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327049,4,4,3,1,0,0,0.250,0.750,0.750,0.750
common_voice_he_39327050,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327051,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327063,3,3,3,0,0,0,0,1,1,1
common_voice_he_39327065,11,11,11,0,0,0,0,1,1,1
common_voice_he_39327066,10,10,10,0,0,0,0,1,1,1
common_voice_he_39327068,11,11,11,0,0,0,0,1,1,1
common_voice_he_39327081,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327082,6,7,6,0,1,0,0.167,1,0.857,0.923
common_voice_he_39327084,12,13,12,0,1,0,0.083,1,0.923,0.960
common_voice_he_39327085,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327091,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327092,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327093,3,3,3,0,0,0,0,1,1,1
common_voice_he_39327094,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327095,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327096,4,4,4,0,0,0,0,1,1,1
common_voice_he_39327097,8,8,8,0,0,0,0,1,1,1
common_voice_he_39327098,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327099,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327100,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327103,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327105,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327107,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327109,4,4,4,0,0,0,0,1,1,1
common_voice_he_39327110,10,9,8,1,0,1,0.200,0.800,0.889,0.842
common_voice_he_39327112,4,5,4,0,1,0,0.250,1,0.800,0.889
common_voice_he_39327118,8,8,8,0,0,0,0,1,1,1
common_voice_he_39327119,12,12,12,0,0,0,0,1,1,1
common_voice_he_39327120,4,4,4,0,0,0,0,1,1,1
common_voice_he_39327121,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327123,10,10,10,0,0,0,0,1,1,1
common_voice_he_39327124,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327125,14,14,14,0,0,0,0,1,1,1
common_voice_he_39327126,3,3,3,0,0,0,0,1,1,1
common_voice_he_39327137,4,4,4,0,0,0,0,1,1,1
common_voice_he_39327138,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39327139,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327140,8,8,8,0,0,0,0,1,1,1
common_voice_he_39327141,12,12,12,0,0,0,0,1,1,1
common_voice_he_39327147,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327148,13,13,13,0,0,0,0,1,1,1
common_voice_he_39327151,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327152,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_39327181,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327182,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327183,8,7,7,0,0,1,0.125,0.875,1,0.933
common_voice_he_39327184,2,2,2,0,0,0,0,1,1,1
common_voice_he_39327185,11,9,9,0,0,2,0.182,0.818,1,0.900
common_voice_he_39327196,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327197,10,10,10,0,0,0,0,1,1,1
common_voice_he_39327198,13,13,11,2,0,0,0.154,0.846,0.846,0.846
common_voice_he_39327199,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327200,4,4,4,0,0,0,0,1,1,1
common_voice_he_39327214,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327215,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327216,10,10,10,0,0,0,0,1,1,1
common_voice_he_39327217,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327218,8,8,8,0,0,0,0,1,1,1
common_voice_he_39642806,6,6,6,0,0,0,0,1,1,1
common_voice_he_39642807,6,6,6,0,0,0,0,1,1,1
common_voice_he_39642808,6,6,6,0,0,0,0,1,1,1
common_voice_he_39642809,11,11,11,0,0,0,0,1,1,1
common_voice_he_39642810,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39642811,7,7,7,0,0,0,0,1,1,1
common_voice_he_39642813,7,7,7,0,0,0,0,1,1,1
common_voice_he_39642814,7,7,7,0,0,0,0,1,1,1
common_voice_he_39642815,6,6,6,0,0,0,0,1,1,1
common_voice_he_39642817,8,8,8,0,0,0,0,1,1,1
