filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39918066,6,6,6,0,0,0,0,1,1,1
common_voice_he_39831364,11,11,11,0,0,0,0,1,1,1
common_voice_he_39831345,11,11,11,0,0,0,0,1,1,1
common_voice_he_39831351,10,10,10,0,0,0,0,1,1,1
common_voice_he_39831352,10,10,10,0,0,0,0,1,1,1
common_voice_he_39831353,11,11,11,0,0,0,0,1,1,1
common_voice_he_39831354,9,9,9,0,0,0,0,1,1,1
common_voice_he_39831355,7,7,7,0,0,0,0,1,1,1
common_voice_he_39831361,10,10,10,0,0,0,0,1,1,1
common_voice_he_39831362,9,9,9,0,0,0,0,1,1,1
common_voice_he_39831363,7,7,7,0,0,0,0,1,1,1
common_voice_he_39831365,10,10,10,0,0,0,0,1,1,1
common_voice_he_39918065,8,8,8,0,0,0,0,1,1,1
common_voice_he_39831376,8,8,8,0,0,0,0,1,1,1
common_voice_he_39831377,9,9,9,0,0,0,0,1,1,1
common_voice_he_39831378,12,12,12,0,0,0,0,1,1,1
common_voice_he_39831379,12,12,12,0,0,0,0,1,1,1
common_voice_he_39918055,15,15,15,0,0,0,0,1,1,1
common_voice_he_39918056,10,10,10,0,0,0,0,1,1,1
common_voice_he_39918057,9,9,9,0,0,0,0,1,1,1
common_voice_he_39918058,9,9,9,0,0,0,0,1,1,1
common_voice_he_39918059,9,9,9,0,0,0,0,1,1,1
common_voice_he_39937182,15,15,15,0,0,0,0,1,1,1
common_voice_he_39937203,10,10,10,0,0,0,0,1,1,1
common_voice_he_39937204,15,15,15,0,0,0,0,1,1,1
common_voice_he_40001968,18,18,18,0,0,0,0,1,1,1
common_voice_he_40001959,10,10,10,0,0,0,0,1,1,1
common_voice_he_40001960,19,19,19,0,0,0,0,1,1,1
common_voice_he_40001961,13,13,13,0,0,0,0,1,1,1
common_voice_he_40001962,10,10,10,0,0,0,0,1,1,1
common_voice_he_40001963,9,9,9,0,0,0,0,1,1,1
common_voice_he_40001964,9,9,9,0,0,0,0,1,1,1
common_voice_he_40001965,20,20,20,0,0,0,0,1,1,1
common_voice_he_40001966,8,8,8,0,0,0,0,1,1,1
common_voice_he_40001967,13,13,13,0,0,0,0,1,1,1
